Cust#,Customer Name,State,AE#,Gross Demand#,Gross Demand$,Gross Shipped$,Gross Shipped Countt,Discount$,Discount%,Net_Shipped$,GP%,mean_price
17507,EVER'MAN NATURAL FDS COOP,FL,15.00,14.00,75.60,75.60,14.00,19.33,0.26,56.27,0.38,4.02
17116,BRISTOL FARMS-MISSON HILL,CA,4.00,9.00,48.60,48.60,9.00,12.42,0.26,36.18,0.38,4.02
C10217,ROSAUERS MKT #29 DBA,WA,2.00,9.00,48.60,48.60,9.00,12.42,0.26,36.18,0.38,4.02
C04404,BRISTOL FARMS INC #2323,CA,4.00,45.00,243.00,243.00,45.00,62.10,0.26,180.90,0.38,4.02
N06100,EARTHLIGHT NAT. FOODS I,PA,12.00,18.00,97.20,97.20,18.00,24.72,0.25,72.48,0.38,4.03
16475,WILLIMANTIC FOOD COOP,CT,17.00,10.00,54.00,54.00,10.00,13.72,0.25,40.28,0.39,4.03
14002,"CONCORD FOOD CO-OP, INC",NH,14.00,16.00,86.40,86.40,16.00,21.92,0.25,64.48,0.39,4.03
15202,ROSAUERS MKT #37 DBA,WA,2.00,16.00,86.40,86.40,16.00,21.87,0.25,64.53,0.38,4.03
C09264,NEW FRONTIERS #9,CA,4.00,20.00,108.00,97.20,18.00,24.57,0.25,72.63,0.39,4.04
14558,ROSAUERS MKT #60 DBA,WA,2.00,37.00,199.80,199.80,37.00,50.49,0.25,149.31,0.37,4.04
15903,CO-OP MARKET,AK,1.00,15.00,81.00,81.00,15.00,20.41,0.25,60.59,0.39,4.04
N06753,LIFETHYME,NY,13.00,15.00,81.00,81.00,15.00,20.41,0.25,60.59,0.39,4.04
N01348,OUTPOST NATURAL FOODS,WI,7.00,30.00,162.00,162.00,30.00,40.82,0.25,121.18,0.39,4.04
16394,MENOMONIE FOOD COOP,WI,7.00,9.00,48.40,48.40,9.00,12.04,0.25,36.36,0.39,4.04
C08062,"MANA HEALTH FOODS, INC.",HI,1.00,31.00,167.40,167.40,31.00,42.12,0.25,125.28,0.39,4.04
14756,NUTRITION S'MART,FL,16.00,32.00,172.80,172.80,32.00,43.47,0.25,129.33,0.39,4.04
15462,COMMUNITY FOOD COOP,MT,2.00,35.00,189.00,189.00,35.00,47.52,0.25,141.48,0.39,4.04
14865,MOSCOW FOOD CO-OP,ID,2.00,15.00,81.00,81.00,15.00,20.35,0.25,60.65,0.39,4.04
13967,HERE'S HEALTH,IL,8.00,2.00,10.80,10.80,2.00,2.70,0.25,8.10,0.39,4.05
16860,HEALTHY CHOICES MKTS INC,FL,16.00,2.00,10.80,10.80,2.00,2.70,0.25,8.10,0.39,4.05
C10006,PEAK NUTRITION,TX,6.00,2.00,10.80,10.80,2.00,2.70,0.25,8.10,0.39,4.05
N04838,JUDY'S NATURAL FOODS,FL,15.00,2.00,10.80,10.80,2.00,2.70,0.25,8.10,0.39,4.05
14180,GOOD NUTRITION,GA,10.00,4.00,21.60,21.60,4.00,5.40,0.25,16.20,0.39,4.05
16939,NATURES CORNER MKT LLC,GA,10.00,4.00,21.60,21.60,4.00,5.40,0.25,16.20,0.39,4.05
16949,SAV-A-LOT NUTRITION CTR,FL,16.00,4.00,21.60,21.60,4.00,5.40,0.25,16.20,0.39,4.05
17360,WILD ROOTS MKT,CA,3.00,4.00,21.60,21.60,4.00,5.40,0.25,16.20,0.39,4.05
17405,MOTHERS MKT - MANHATTAN B,CA,4.00,4.00,21.60,21.60,4.00,5.40,0.25,16.20,0.39,4.05
N04217,HARVEST HEALTH FOODS,MI,9.00,4.00,21.60,21.60,4.00,5.40,0.25,16.20,0.39,4.05
N08607,FEELING GREAT WELLNESS,GA,10.00,4.00,21.60,21.60,4.00,5.40,0.25,16.20,0.39,4.05
17274,DOWN TO EARTH,HI,1.00,5.00,27.00,27.00,5.00,6.75,0.25,20.25,0.39,4.05
C03230,LASSENS NTRL FDS THSND OA,CA,4.00,7.00,37.80,27.00,5.00,6.75,0.25,20.25,0.39,4.05
15555,DOWN TO EARTH,HI,1.00,6.00,32.40,32.40,6.00,8.10,0.25,24.30,0.39,4.05
17422,BRISTOL FARMS-YORBALINDA,CA,4.00,6.00,32.40,32.40,6.00,8.10,0.25,24.30,0.39,4.05
17525,COMMUNITY CO-OP MARKET,FL,15.00,6.00,32.40,32.40,6.00,8.10,0.25,24.30,0.39,4.05
C00852,COUNTRY SUN,CA,3.00,6.00,32.40,32.40,6.00,8.10,0.25,24.30,0.39,4.05
C09075,MARY'S HEALTH FOOD,MT,2.00,6.00,32.40,32.40,6.00,8.10,0.25,24.30,0.39,4.05
15226,BETTER HEALTH #11,MI,9.00,7.00,37.80,37.80,7.00,9.45,0.25,28.35,0.39,4.05
17142,KIMBERTON WHOLE FOODS CV,PA,12.00,8.00,43.20,43.20,8.00,10.80,0.25,32.40,0.39,4.05
14913,ROLLIN OATS MKT,FL,15.00,12.00,64.80,64.80,12.00,16.20,0.25,48.60,0.39,4.05
16338,KIMBERTON WHOLE FOODS(MV),PA,12.00,12.00,64.80,64.80,12.00,16.20,0.25,48.60,0.39,4.05
C01328,NUTRITION EXPRESS CORP.,CA,4H,12.00,64.80,64.80,12.00,16.20,0.25,48.60,0.38,4.05
N06207,DOMINGUES IMP.E DISTR.,37,41.00,12.00,64.80,64.80,12.00,16.20,0.25,48.60,0.39,4.05
13361,UNIVERSAL HERBS INC,CA,4H,16.00,86.40,86.40,16.00,21.60,0.25,64.80,0.39,4.05
N02997,NATURE'S OWN,NC,10.00,17.00,91.80,91.80,17.00,22.95,0.25,68.85,0.39,4.05
16519,NEW SEASONS - SLABTOWN,OR,2.00,24.00,129.60,129.60,24.00,32.40,0.25,97.20,0.39,4.05
C03431,EUREKA NATURAL FOODS,CA,3.00,24.00,129.60,129.60,24.00,32.40,0.25,97.20,0.39,4.05
N04251,HEALTH HABIT,NC,10.00,30.00,162.00,162.00,30.00,40.50,0.25,121.50,0.39,4.05
16268,EMERSON ECOLOGIES LLC,NH,21.00,51.00,275.40,275.40,51.00,68.85,0.25,206.55,0.38,4.05
N07407,CITY MARKET,VT,14.00,86.00,464.40,464.40,86.00,116.10,0.25,348.30,0.39,4.05
C11259,DEAN SOUTH DBA,AZ,4H,132.00,712.80,712.80,132.00,178.20,0.25,534.60,0.39,4.05
16267,EMERSON ECOLOGIES LLC,NH,21.00,204.00,1101.60,1101.60,204.00,275.40,0.25,826.20,0.39,4.05
N12161,Vitacost.com,FL,4H,216.00,1166.40,1166.40,216.00,291.60,0.25,874.80,0.39,4.05
N12114,SWANSON HEALTH PRODUCTS,ND,4H,240.00,1296.00,1296.00,240.00,324.00,0.25,972.00,0.39,4.05
N08161,BETTER HEALTH # 8,MI,9.00,9.00,48.60,48.60,9.00,12.15,0.25,36.45,0.39,4.05
16878,EUREKA NF - MCKINLEYVILLE,CA,3.00,18.00,97.20,97.20,18.00,24.30,0.25,72.90,0.39,4.05
16353,NEW PIONEER CO-OP,IA,7.00,9.00,48.60,48.60,9.00,12.10,0.25,36.50,0.39,4.06
15167,NUTRITION S'MART,FL,15.00,17.00,91.80,91.80,17.00,22.68,0.25,69.12,0.39,4.07
N12524,GreenAcres Market - Clear Lakes,KS,6.00,6.00,32.40,32.40,6.00,8.00,0.25,24.40,0.39,4.07
C08089,NATURAL PLANET,AZ,5.00,14.00,75.60,75.60,14.00,18.63,0.25,56.97,0.39,4.07
N09235,ELLWOOD THOMPSON #2,VA,11.00,28.00,151.20,151.20,28.00,37.26,0.25,113.94,0.39,4.07
N11746,THE TURNIP TRUCK,TN,10.00,36.00,194.40,194.40,36.00,47.90,0.25,146.50,0.39,4.07
C09414,WINGS OF HEALTH MEDICAL,TX,6.00,13.00,70.20,70.20,13.00,17.28,0.25,52.92,0.39,4.07
C08366,SUNFLOWER SHOPPE,TX,6.00,10.00,54.00,54.00,10.00,13.23,0.25,40.77,0.39,4.08
C08589,VITAMIN ADVENTURE #2,CA,3.00,4.00,21.60,21.60,4.00,5.29,0.24,16.31,0.39,4.08
16217,ROSAUERS MKT #3 DBA,WA,2.00,18.00,97.20,97.20,18.00,23.76,0.24,73.44,0.39,4.08
16825,WILLIAMSON ST GROC COOP,WI,7.00,16.00,86.40,86.40,16.00,21.06,0.24,65.34,0.39,4.08
16454,WEAVERS WAY CO-OP,PA,12.00,12.00,64.80,64.80,12.00,15.77,0.24,49.03,0.39,4.09
15627,MY ORGANIC MKT (HERNDON),MD,11.00,8.00,43.20,43.20,8.00,10.47,0.24,32.73,0.24,4.09
16902,LA MONTANITA CO-OP,NM,5.00,13.00,70.20,70.20,13.00,17.01,0.24,53.19,0.40,4.09
C08436,OLIVER'S MKT (COTATI),CA,3.00,25.00,135.00,135.00,25.00,32.67,0.24,102.33,0.39,4.09
C08343,FAMILY NUTRITION CTR.,TX,6.00,15.00,81.00,81.00,15.00,19.60,0.24,61.40,0.40,4.09
16493,NATURES APOTHECARY,AL,10.00,6.00,32.40,32.40,6.00,7.83,0.24,24.57,0.39,4.10
16739,MOM'S ORGANIC MKT (CHERRY,NJ,17.00,7.00,37.80,37.80,7.00,9.12,0.24,28.68,0.40,4.10
16691,MY ORGANIC MKT (HAMPDEN),MD,11.00,27.00,145.80,145.80,27.00,35.15,0.24,110.65,0.39,4.10
13586,BETTER HEALTH #20,MI,9.00,33.00,178.20,178.20,33.00,42.93,0.24,135.27,0.40,4.10
16738,MOM'S ORGANIC MKT (PHILA),PA,12.00,22.00,118.80,118.80,22.00,28.61,0.24,90.19,0.40,4.10
N08776,LIONVILLE NAT. PHARMACY,PA,12.00,37.00,199.80,199.80,37.00,48.06,0.24,151.74,0.40,4.10
N06190,FRESHLIFE,PA,12.00,35.00,189.00,189.00,35.00,45.36,0.24,143.64,0.40,4.10
17503,DETWILERS FARM MKT V INC,FL,15.00,5.00,27.00,27.00,5.00,6.48,0.24,20.52,0.40,4.10
13707,NUGGET MARKET #6,CA,3.00,10.00,54.00,54.00,10.00,12.96,0.24,41.04,0.39,4.10
N07007,NUTRITION S'MART,FL,16.00,85.00,459.00,459.00,85.00,110.16,0.24,348.84,0.40,4.10
C04196,APTOS NATURAL FOOD,CA,3.00,4.00,21.60,21.60,4.00,5.18,0.24,16.42,0.40,4.11
N02121,SOUTHTOWN HEALTH FOODS,IL,8.00,58.00,313.20,313.20,58.00,75.06,0.24,238.14,0.40,4.11
N02543,VALLEY NATURAL FOODS,MN,7.00,86.00,464.40,464.40,86.00,111.25,0.24,353.15,0.40,4.11
N09218,THE COMMON CROW,MA,14.00,14.00,75.60,75.60,14.00,18.09,0.24,57.51,0.40,4.11
15601,MOTHERS MKT - BREA,CA,4.00,10.00,53.00,53.00,10.00,11.90,0.22,41.10,0.40,4.11
17349,BERKLEY BOWL PROD. - WEST,CA,3.00,25.00,135.00,135.00,25.00,32.23,0.24,102.77,0.40,4.11
N05412,NUTRITION WORLD,TN,10.00,22.00,118.80,118.80,22.00,28.35,0.24,90.45,0.40,4.11
N02509,HUFFMANS,FL,15.00,52.00,280.80,280.80,52.00,66.96,0.24,213.84,0.39,4.11
N07738,BETTER HEALTH # 7,MI,9.00,17.00,91.80,91.80,17.00,21.87,0.24,69.93,0.40,4.11
14034,ROOMFUL OF NUTS,NC,10.00,4.00,21.60,21.60,4.00,5.13,0.24,16.47,0.40,4.12
N06235,BETTER HEALTH # 3,MI,9.00,8.00,43.20,43.20,8.00,10.26,0.24,32.94,0.40,4.12
N00137,BETTER HEALTH #18,MI,9.00,24.00,129.60,129.60,24.00,30.78,0.24,98.82,0.40,4.12
15551,MY ORGANIC MKT (LUTHERVI),MD,11.00,7.00,37.80,37.80,7.00,8.96,0.24,28.84,0.40,4.12
Totals,,,,"15,251","$82,317","$82,096","15,210","$23,639",28.8%,"$58,457",39.7%,3.843295858
12994,LASSENS NTRL FDS SNTA MA,CA,4,7,$38,$38,7,$9,23.6%,$29,39.7%,4.127142857
13742,RED CLOVER MARKET,NE,7,7,$38,$38,7,$9,23.6%,$29,39.6%,4.127142857
C10489,NUGGET MARKET #17,CA,3,7,$38,$38,7,$9,23.6%,$29,39.6%,4.127142857
15982,NEIGHBORHOOD COOP,IL,8,14,$76,$76,14,$18,23.6%,$58,40.1%,4.127142857
C10670,NUGGET MARKET #11,CA,3,14,$76,$76,14,$18,23.6%,$58,39.8%,4.127142857
N05322,REBECCA'S,VA,11,28,$151,$151,28,$36,23.6%,$116,35.7%,4.127142857
17094,SUNRISE HEALTH FOODS,IL,8,9,$49,$49,9,$11,23.5%,$37,40.0%,4.128888889
N05024,HOLLY HILL HEALTH FOODS,PA,12,10,$54,$54,10,$13,23.5%,$41,40.1%,4.131
13909,LAKEWINDS NATURAL FOODS,MN,7,33,$178,$178,33,$42,23.5%,$136,40.1%,4.133333333
14747,ARTESIAN NATURAL FOODS,CA,3,11,$59,$59,11,$14,23.4%,$45,40.0%,4.134545455
N09050,BETTER HEALTH # 9,MI,9,25,$135,$135,25,$32,23.4%,$103,40.0%,4.1364
14228,MARKET OF CHOICE #5,OR,2,9,$49,$49,9,$11,23.3%,$37,40.3%,4.14
C03969,THE WHOLE WHEATERY,CA,4,9,$49,$49,9,$11,23.3%,$37,40.3%,4.14
14366,GESUNDHEIT WITH JACOBUS,MT,2,12,$65,$65,12,$15,23.3%,$50,39.9%,4.14
N01993,HEALTH HUT,WI,7,18,$97,$97,18,$23,23.3%,$75,39.9%,4.14
16486,MY ORGANIC MKT (WOOD),VA,11,32,$173,$173,32,$40,23.3%,$133,40.2%,4.14125
N07023,HUNGER MOUNTAIN COOP,VT,14,86,$464,$464,86,$108,23.3%,$356,40.2%,4.144186047
15501,EUREKA COOP (dba),CA,3,14,$75,$75,14,$17,22.4%,$58,40.4%,4.145
N08104,NATURES PANTRY #2,NY,13,21,$113,$113,21,$26,23.2%,$87,40.3%,4.145714286
N11287,DEBBIE'S HEALTH FDS. #3,FL,16,25,$135,$135,25,$31,23.2%,$104,40.4%,4.1472
C01195,CO-OPPORTUNITY,CA,4,41,$221,$221,41,$51,23.2%,$170,40.3%,4.148780488
C00724,STAFF OF LIFE,CA,3,19,$103,$103,19,$24,23.2%,$79,40.3%,4.149473684
N05815,BETTER HEALTH # 2,MI,9,8,$43,$43,8,$10,23.1%,$33,40.4%,4.15125
17387,KIMBERTON WHOLE FDS (OT),PA,12,18,$97,$97,18,$22,23.1%,$75,40.4%,4.155
N09336,MY ORGANIC MKT#2 (COLLPK),MD,11,42,$227,$227,42,$52,23.0%,$175,40.5%,4.15547619
C08991,CID'S FOOD MARKET,NM,5,22,$119,$119,22,$27,23.0%,$91,40.4%,4.157727273
C03209,HARVEST HOUSE,CA,3,5,$27,$27,5,$6,22.4%,$21,40.6%,4.158
N03804,HEATH'S NATURAL FOODS,FL,16,5,$27,$27,5,$6,23.0%,$21,40.5%,4.158
C08863,THE REAL FOODS STORE,MT,2,10,$54,$54,10,$12,23.0%,$42,40.2%,4.158
16601,ROSAUERS MKT #36 DBA,WA,2,17,$92,$92,17,$21,22.9%,$71,40.2%,4.161176471
C03487,DOWN TO EARTH,HI,1,17,$92,$92,17,$21,22.9%,$71,40.4%,4.161176471
17127,PRUMMER'S INC,ID,2,16,$86,$86,16,$19,22.6%,$67,40.5%,4.161875
N06709,BETTER HEALTH # 5,MI,9,77,$416,$416,77,$95,22.9%,$321,40.6%,4.165714286
17182,MOMS ORGANIC MKT (GAITH),MD,11,9,$49,$49,9,$11,22.8%,$38,40.6%,4.17
N11537,NUTRITION S'MART,FL,16,9,$49,$49,9,$11,22.8%,$38,40.7%,4.17
C00962,HERB ROOM,CA,3,8,$43,$43,8,$10,22.7%,$33,40.7%,4.1725
C04226,UKIAH NATURAL FOODS,CA,3,33,$178,$178,33,$41,22.7%,$138,40.7%,4.172727273
17555,PRUETT'S MARKET DBA,TN,10,11,$59,$59,11,$14,22.7%,$46,40.3%,4.172727273
C08175,COUNTRY CUPBOARD NATURAL,AR,6,7,$38,$38,7,$9,22.7%,$29,40.3%,4.172857143
N01686,BERRYBROOK FARMS,NC,10,38,$205,$205,38,$46,22.6%,$159,39.0%,4.177894737
17521,ELLIOTT'S NATURAL FOODS,CA,3,11,$59,$59,11,$13,22.6%,$46,40.6%,4.178181818
N05990,HEALTHY LIVING,VT,14,25,$135,$135,25,$31,22.6%,$104,40.6%,4.1796
15127,NEW LEAF COMMUNITY MKT #1,CA,3,27,$146,$146,27,$33,22.6%,$113,40.7%,4.18
13291,SUNNY FARMS SUPPLEMENTS,WA,1,14,$76,$76,14,$17,22.6%,$59,40.8%,4.180714286
N12500,MY ORGANIC MKT#3(ALXNDRA),VA,11,14,$76,$76,14,$17,22.6%,$59,36.4%,4.180714286
N06750,THE COMMON MARKET,MD,11,43,$232,$232,43,$52,22.6%,$180,40.8%,4.181860465
14963,HEALTH BASKET,FL,16,6,$32,$32,6,$7,22.5%,$25,40.8%,4.185
16260,LASSENS NTRL FDS ECHO PK,CA,4,6,$32,$32,6,$7,22.5%,$25,40.9%,4.185
16885,DEANS NF MKT OF CHESTER,NJ,17,6,$32,$32,6,$7,22.5%,$25,41.0%,4.185
16896,NUGGET MARKET #8,CA,3,6,$32,$32,6,$7,22.5%,$25,40.9%,4.185
17250,MOTHERS MKT - SIGNAL HILL,CA,4,6,$32,$32,6,$7,22.5%,$25,40.9%,4.185
C04169,MT. HOPE HEALTH FOODS,AZ,5,8,$43,$43,8,$10,22.5%,$33,40.9%,4.185
N07031,SUPER VALUE NUTRITION CTR,FL,15,8,$43,$43,8,$10,22.5%,$33,40.7%,4.185
N07132,MARTINDALE'S NATURAL MARKET,PA,12,12,$65,$65,12,$15,22.5%,$50,35.8%,4.185
C03173,S & S PRODUCE,CA,3,18,$97,$97,18,$22,22.5%,$75,40.8%,4.185555556
14654,NATURES CORNER MKT,GA,10,11,$59,$59,11,$13,22.5%,$46,40.9%,4.187272727
16478,HONEST WEIGHT FOOD CO-OP,NY,14,21,$113,$113,21,$25,22.4%,$88,40.8%,4.188571429
N08842,NATURAL FD PATCH,MI,9,19,$103,$103,19,$23,22.4%,$80,37.9%,4.192105263
N08250,NATURE'S HOUSE,NJ,17,6,$32,$32,6,$7,22.3%,$25,40.4%,4.193333333
16032,WHEATSVILLE CO-OP (LAMAR),TX,6,12,$65,$65,12,$14,22.3%,$50,40.9%,4.194166667
N05787,DEBRA'S NATURAL GOURMET,MA,14,43,$232,$232,43,$52,22.3%,$180,40.9%,4.194418605
C10659,NUGGET MARKET #12,CA,3,18,$97,$97,18,$22,22.2%,$76,41.1%,4.2
13666,MARKET OF CHOICE #6,OR,2,23,$124,$124,23,$28,22.2%,$97,33.5%,4.202608696
15232,MY ORGANIC MKT (BOWIE),MD,11,35,$189,$189,35,$42,22.1%,$147,40.9%,4.206
C03422,DOWN TO EARTH,HI,1,17,$92,$92,17,$20,22.1%,$72,41.0%,4.208823529
N04437,GreenAcres Market - West Wichita,KS,6,1,$5,$5,1,$1,22.0%,$4,41.1%,4.21
N12526,GreenAcres Market - Normandie,KS,6,2,$11,$11,2,$2,22.0%,$8,41.1%,4.21
13708,HERB MART INC,TX,6,17,$92,$92,17,$20,22.0%,$72,41.0%,4.21
13934,MARKET OF CHOICE #1,OR,2,5,$27,$27,5,$6,22.0%,$21,40.8%,4.212
15388,SNO-ISLE NATURAL FD COOP,WA,1,15,$81,$81,15,$18,22.0%,$63,41.3%,4.212
14499,SAVEMART,PA,12,52,$281,$281,52,$62,22.0%,$219,40.9%,4.212115385
C03515,ORCHARD NUTRITION CENTER,CA,3,46,$248,$248,46,$55,22.0%,$194,41.1%,4.212173913
15657,SHERM'S THUNDERBIRD MKT,OR,2,42,$227,$227,42,$50,21.9%,$177,41.2%,4.217142857
14300,APPLE TREE NATURAL FOODS,TN,10,8,$43,$43,8,$9,21.9%,$34,41.1%,4.21875
13814,OUTPOST NATURAL FOODS #3,WI,7,25,$135,$135,25,$29,21.8%,$106,41.2%,4.2208
N05927,HEALTH & NUTRITION CTR,NY,13,18,$97,$97,18,$21,21.7%,$76,41.3%,4.226666667
14372,KeHE Distributors,FL,92,120,$648,$648,120,$141,21.7%,$507,41.6%,4.228666667
N08685,GOOD FOODS CO-OP,KY,8,24,$130,$130,24,$28,21.7%,$102,41.5%,4.23
17475,GREENS NATURAL FDS INC 2,NY,13,9,$49,$49,9,$11,21.7%,$38,41.4%,4.23
C10927,MOLLIE STONES,CA,3,18,$97,$97,18,$21,21.7%,$76,41.2%,4.23
N06780,LIFE EXTENSION QUALITY,FL,16,18,$97,$97,18,$21,21.7%,$76,41.5%,4.23
N08949,VITAMIN DISCOUNT CTR # 5,FL,15,10,$54,$54,10,$12,21.6%,$42,41.6%,4.233
N08257,VITAMIN DISCOUNT CTR # 2,FL,15,11,$59,$59,11,$13,21.6%,$47,41.5%,4.233636364
14723,VITAMIN DISCOUNT CTR # 7,FL,15,5,$27,$27,5,$6,21.6%,$21,41.7%,4.234
16940,MOM'S ORGANIC MKT (WMARSH,MD,11,10,$54,$54,10,$12,21.6%,$42,41.6%,4.234
13352,VITAMIN DISCOUNT CTR #10,FL,15,2,$11,$11,2,$2,21.6%,$8,41.7%,4.235
N08300,VITAMIN DISCOUNT CTR # 3,FL,15,2,$11,$11,2,$2,21.6%,$8,41.7%,4.235
15139,MOTHERS MKT - ANAHEIM HIL,CA,4,13,$70,$70,13,$15,21.5%,$55,41.5%,4.236923077
C01225,RAINBOW ACRES #1,CA,4,13,$70,$70,13,$15,21.5%,$55,41.6%,4.236923077
13667,MARKET OF CHOICE #9,OR,2,82,$442,$377,70,$80,21.3%,$297,39.0%,4.237714286
14700,GRASSROOTS NAT. MKT II,FL,16,6,$32,$32,6,$7,21.5%,$25,41.6%,4.238333333
16643,ESSENE MARKET,PA,12,6,$32,$32,6,$7,21.5%,$25,41.5%,4.238333333
N08312,CHUCK'S NAT FOODS,FL,15,10,$54,$54,10,$12,21.5%,$42,41.7%,4.239
13485,GREEN STREET MARKET,NJ,17,4,$22,$22,4,$5,21.5%,$17,41.3%,4.24
17527,BRIGHTER DAY NAT FDS,GA,10,14,$76,$76,14,$16,21.4%,$59,41.6%,4.242857143
N08231,LAKEWIND NATURAL FOODS,MN,7,21,$113,$113,21,$24,21.4%,$89,41.6%,4.243333333
16908,GREEN ORGANIC MARKET,NY,13,30,$162,$162,30,$35,21.4%,$127,41.1%,4.244333333
15899,WHEATSVILLE CO OP,TX,6,8,$43,$43,8,$9,21.4%,$34,41.7%,4.24625
15014,RIVER VALLEY MKT LLC,MA,14,28,$151,$151,28,$32,21.4%,$119,41.8%,4.246785714
17536,THE TURNIP TRUCK CHARLOTT,TN,10,10,$54,$54,10,$12,21.3%,$43,41.7%,4.25
N01777,DOWN TO EARTH,NY,14,7,$38,$38,7,$8,21.3%,$30,41.8%,4.251428571
C09141,MOTHERS MKT - IRVING,CA,4,24,$130,$130,24,$28,21.3%,$102,41.7%,4.2525
15658,SHERM'S THUNDERBIRD MKT,OR,2,34,$184,$184,34,$39,21.2%,$145,41.9%,4.256470588
N04688,WAYNE & MARY'S,SD,7,26,$140,$140,26,$30,21.2%,$111,41.8%,4.257692308
16097,MOM'S OF ROSEMONT (BRYNM),PA,12,15,$81,$81,15,$17,21.1%,$64,41.9%,4.258
15171,VALUE DRUGS,NY,13,7,$38,$38,7,$8,21.0%,$30,42.0%,4.265714286
N06929,MY ORGANIC MKT (ROCKVLLE),MD,11,17,$91,$91,17,$18,20.3%,$73,42.0%,4.265882353
C03604,HEALTH FOOD CITY,CA,4,5,$27,$27,5,$6,21.0%,$21,42.0%,4.266
N04700,SAWALL HEALTH FOOD,MI,9,5,$27,$27,5,$6,21.0%,$21,42.0%,4.266
15491,NEW EARTH MARKET,CA,3,10,$54,$54,10,$11,21.0%,$43,24.6%,4.266
17279,PASCO HF DBA HIGHLANDS HF,WA,2,6,$32,$32,6,$7,21.0%,$26,42.0%,4.266666667
15801,MY ORGANIC MARKET (WALD),MD,11,32,$173,$173,32,$36,21.0%,$137,41.9%,4.2678125
14822,"THE NUTRITION CENTER, INC",PA,12,11,$59,$59,11,$12,20.9%,$47,42.0%,4.270909091
N08270,WHEATSFIELD GROCERY,IA,7,50,$270,$270,50,$56,20.9%,$214,42.0%,4.2712
16798,NEW EARTH MKT,CA,3,7,$38,$38,7,$8,20.7%,$30,42.3%,4.281428571
17462,NATURAL FOOD & GARDEN,PA,12,21,$113,$113,21,$23,20.7%,$90,42.2%,4.281428571
15997,GOOD EARTH NATURAL FOODS,CA,3,29,$157,$157,29,$32,20.7%,$124,42.3%,4.284482759
N06402,SUNRISE NATURAL FOODS,MN,7,48,$259,$259,48,$53,20.6%,$206,42.3%,4.286458333
N07401,EVERYBODYS WHOLE FOODS,IA,7,23,$123,$123,23,$25,20.1%,$99,42.2%,4.286956522
13669,MARKET OF CHOICE #11,OR,2,9,$49,$49,9,$10,20.6%,$39,41.8%,4.29
15572,CHARLOTTE SUPPLEMENTS,NC,10,9,$49,$49,9,$10,20.6%,$39,42.0%,4.29
15404,MARKET OF CHOICE #7,OR,2,19,$103,$103,19,$21,20.5%,$82,51.4%,4.291578947
C09864,TAOS HERB CO,NM,5,22,$119,$119,22,$24,20.5%,$95,42.3%,4.295454545
C03855,DIXIE NUTRITION,UT,5,13,$70,$70,13,$14,20.4%,$56,42.4%,4.299230769
16184,FRAZIER FARMS OCEANSIDE,CA,4,14,$76,$76,14,$15,20.4%,$60,42.6%,4.300714286
N01627,EARTH ORIGINS MKT (NF09),OK,15,24,$129,$129,24,$26,20.0%,$103,42.5%,4.306666667
C03759,SUNNY FARMS,WA,1,18,$96,$96,18,$19,19.5%,$78,42.7%,4.310555556
15465,GREEN MARKET NAT. FDS.,TX,6,32,$173,$173,32,$35,20.1%,$138,42.7%,4.313125
16197,LAKEWINDS NATURAL FOODS,MN,7,7,$38,$38,7,$7,19.7%,$30,42.1%,4.315714286
17092,CO-OPPORTUNITY COOP,CA,4,7,$38,$38,7,$8,20.0%,$30,42.2%,4.32
17373,CHAMBERLINS NF (SLK),OK,15,7,$38,$38,7,$8,20.0%,$30,42.7%,4.32
C05552,BETSY'S HEALTH FOODS,TX,6,7,$38,$38,7,$8,20.0%,$30,42.7%,4.32
N07475,EARTH ORIGINS #14,OK,15,7,$38,$38,7,$8,20.0%,$30,42.7%,4.32
N11976,EARTH ORIGINS MKT-MURDOCK,OK,15,13,$70,$70,13,$14,20.0%,$56,42.7%,4.32
16872,PROFESSIONAL SUPPLEMENT,FL,4H,14,$76,$76,14,$15,20.0%,$60,42.6%,4.32
13088,VITAMINS PLUS #101,TX,6,15,$81,$81,15,$16,20.0%,$65,42.8%,4.32
17111,Albertsons Market,TX,5,15,$81,$81,15,$16,20.0%,$65,42.7%,4.32
N08920,CHAMBERLINS(OVIEDO),OK,16,15,$81,$81,15,$16,20.0%,$65,42.7%,4.32
15494,SHERM'S THUNDERBIRD MKT,OR,2,26,$140,$140,26,$28,20.0%,$112,42.4%,4.32
N02099,FRUITFUL YIELD- ELMHURST,IL,8,28,$151,$151,28,$30,20.0%,$121,42.5%,4.32
17442,SHEMRAN INC DBA BARONS,CA,4,30,$162,$162,30,$32,20.0%,$130,42.6%,4.32
N02677,CHAMBERLINS - US HWY 98,OK,IA,1,$5,$5,1,$1,20.0%,$4,42.8%,4.32
N04046,BETTER HEALTH #14,MI,9,1,$5,$5,1,$1,20.0%,$4,42.8%,4.32
N05391,WILLNER CHEMISTS,NY,13,1,$5,$5,1,$1,20.0%,$4,42.8%,4.32
14303,BLOOMFIELD TOWNSHIP MKT,MI,9,2,$11,$11,2,$2,20.0%,$9,42.4%,4.32
15133,WAYNE & MARYS,SD,7,2,$11,$11,2,$2,20.0%,$9,42.6%,4.32
17137,CHAMBERLINS (US HWY 98),OK,15,2,$11,$11,2,$2,20.0%,$9,42.8%,4.32
